Linux 3.10.0-1160.76.1.el7.x86_64 (lt-uxcrowd.ru) 	05/07/2024 	_x86_64_	(6 CPU)

07:57:06 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:57:16 AM    dev8-0      1.50      0.00     32.00     21.33      0.00      1.00      0.60      0.09

07:57:16 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:57:26 AM    dev8-0      1.90      0.00     44.00     23.16      0.00      2.32      2.00      0.38

07:57:26 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:57:36 AM    dev8-0      0.90      0.00     26.40     29.33      0.00      0.56      0.44      0.04

07:57:36 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:57:46 AM    dev8-0      2.80      0.00     49.60     17.71      0.01      3.11      1.75      0.49

07:57:46 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:57:56 AM    dev8-0      1.70      0.00     30.40     17.88      0.01      3.65      2.47      0.42

07:57:56 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:58:06 AM    dev8-0      2.10      0.00     56.80     27.05      0.01      3.48      1.57      0.33

07:58:06 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:58:16 AM    dev8-0      5.20      0.00     88.80     17.08      0.01      1.83      0.71      0.37

07:58:16 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:58:26 AM    dev8-0      1.90      0.00     36.00     18.95      0.00      1.16      0.84      0.16

07:58:26 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:58:36 AM    dev8-0      1.60      0.00     33.60     21.00      0.00      0.94      0.56      0.09

07:58:36 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:58:46 AM    dev8-0      1.50      0.00     33.60     22.40      0.01      3.93      3.27      0.49

07:58:46 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:58:56 AM    dev8-0      2.40      0.00     28.80     12.00      0.00      1.38      0.54      0.13

07:58:56 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:59:06 AM    dev8-0      1.90      0.00     39.20     20.63      0.00      1.00      0.68      0.13

07:59:06 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
07:59:16 AM    dev8-0      1.80      0.00     36.00     20.00      0.00      0.72      0.50      0.09

07:59:16 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
